node_id,eigenvector
2005,0.18481990124099884
2004,0.18412910237859234
2002,0.1812473889319402
2010,0.180781406880078
2012,0.1791839858795997
2007,0.1785475385345408
2003,0.17805027798194906
2000,0.17686032887269873
2006,0.1753240718195352
2001,0.17419075240101545
2011,0.1738166623667715
2013,0.17124985042497842
2009,0.17075436824784107
2014,0.16777136914434287
2008,0.16528953420165296
1196,0.042103139032193024
437,0.04122115676630497
1263,0.03947460294746081
35,0.03940054630969666
10,0.03795843582674027
